case_id,dimension,setting,evidence_class,policy,episodes,mean_cost_bps,median_cost_bps,p95_cost_bps,cvar95_cost_bps,completion_rate,invalid_action_rate
grid_100ms_proxy,decision_grid,100ms_proxy,synthetic_engineering,ppo_seed_127,24,3.181725571674324,2.5060105440723905,9.454886031778555,9.968488677966178,1.0,0.0
grid_100ms_proxy,decision_grid,100ms_proxy,synthetic_engineering,ppo_seed_227,24,2.0917961047848013,1.2959630678343892,7.824490446271651,8.096358209840268,1.0,0.0
grid_100ms_proxy,decision_grid,100ms_proxy,synthetic_engineering,ppo_seed_327,24,2.9397382131925043,2.9956727790057096,7.203053762226235,7.394373534223956,1.0,0.0
grid_100ms_proxy,decision_grid,100ms_proxy,synthetic_engineering,ppo_seed_427,24,3.1195343206023316,2.4790083025431495,9.109330538942741,9.782294111313483,1.0,0.0
grid_250ms_proxy,decision_grid,250ms_proxy,synthetic_engineering,immediate,24,4.072007408308794,4.062602801282044,4.343566598237228,4.350752217754927,1.0,0.0
grid_250ms_proxy,decision_grid,250ms_proxy,synthetic_engineering,twap_like,24,3.187301742234711,3.4613401709079437,7.490888424460562,7.885802715859852,1.0,0.0
grid_250ms_proxy,decision_grid,250ms_proxy,synthetic_engineering,liquidity_aware,24,2.732058741927998,2.3359041613667397,8.6968560467185,9.870920381549695,1.0,0.0
grid_250ms_proxy,decision_grid,250ms_proxy,synthetic_engineering,ppo_seed_27,24,3.948550895943754,3.3334334192289257,9.212277912172752,11.831995713169908,1.0,0.0
grid_250ms_proxy,decision_grid,250ms_proxy,synthetic_engineering,ppo_seed_127,24,3.948550895943754,3.3334334192289257,9.212277912172752,11.831995713169908,1.0,0.0
grid_250ms_proxy,decision_grid,250ms_proxy,synthetic_engineering,ppo_seed_227,24,2.6729431862265405,1.8336920731831952,8.674752645943654,9.074977843969577,1.0,0.0
grid_250ms_proxy,decision_grid,250ms_proxy,synthetic_engineering,ppo_seed_327,24,3.05817289114767,3.064895769221976,7.696782682725927,7.775102478957783,1.0,0.0
grid_250ms_proxy,decision_grid,250ms_proxy,synthetic_engineering,ppo_seed_427,24,3.833264701764509,3.2280991496559754,9.019850984326501,11.659820197368898,1.0,0.0
