case_id,dimension,setting,policy,comparator,episodes,mean_difference_bps,median_difference_bps,mean_ci95_low_bps,mean_ci95_high_bps,raw_two_sided_p_value,holm_adjusted_p_value,relative_change_percent,paired_standardized_effect
horizon_30s_proxy,horizon,30s_proxy,immediate,liquidity_aware,24,0.59245342344,1.10150273955,-0.96700513647,2.09033820754,0.465950695631,0.465950695631,17.661168254,0.191256327113
impact_2x,impact,2x_coefficient,ppo_aggregate,liquidity_aware,24,0.191517993072,0.33773334573,-0.198943879799,0.545597741809,0.313400048816,0.517451793996,8.43626293898,0.128675449545
impact_2x,impact,2x_coefficient,twap_like,liquidity_aware,24,0.939351392683,1.21458372657,0.00418222320825,1.82270072142,0.0427141811081,0.170856724433,41.377915535,0.266298393876
impact_2x,impact,2x_coefficient,immediate,liquidity_aware,24,2.67383909477,3.24553183912,1.03877826651,4.22674022978,0.000488162069807,0.00195264827923,117.781150993,0.846194624725
impact_cubic,impact,cubic_form_misspecification,ppo_aggregate,liquidity_aware,24,0.280619961217,0.408462928279,-0.116070271042,0.656036144684,0.167927752014,0.517451793996,12.6355879773,0.192754166735
impact_cubic,impact,cubic_form_misspecification,twap_like,liquidity_aware,24,0.891062378956,1.1545274691,-0.0239271307656,1.7420685276,0.0485721259458,0.170856724433,40.1222244978,0.25314542975
impact_cubic,impact,cubic_form_misspecification,immediate,liquidity_aware,24,1.70623425354,2.45634466185,0.102377445163,3.22315679304,0.0283134000488,0.0849402001464,76.8272967002,0.54054812889
impact_half,impact,0.5x_coefficient,ppo_aggregate,liquidity_aware,24,0.314108124418,0.41289805811,-0.097034140042,0.707714292834,0.129362948499,0.517451793996,14.1987009177,0.211545430615
impact_half,impact,0.5x_coefficient,twap_like,liquidity_aware,24,0.867471441921,1.12741780664,-0.0360561257682,1.75273315412,0.0580912863071,0.170856724433,39.2125086904,0.246731355953
impact_half,impact,0.5x_coefficient,immediate,liquidity_aware,24,1.23627227369,2.11210491746,-0.42157217043,2.7760290278,0.13937027093,0.13937027093,55.8834964854,0.390974396772
impact_linear,impact,linear_form_misspecification,ppo_aggregate,liquidity_aware,24,0.284938457489,0.424893854138,-0.111880346884,0.684812535591,0.156455943373,0.517451793996,12.428604612,0.195808805358
impact_linear,impact,linear_form_misspecification,twap_like,liquidity_aware,24,0.89175909769,1.15919233132,-0.0108170781287,1.7823366877,0.0515010983647,0.170856724433,38.8972458547,0.253393641562
impact_linear,impact,linear_form_misspecification,immediate,liquidity_aware,24,1.68235274003,2.5350561947,0.132917351865,3.21590488198,0.0295338052233,0.0849402001464,73.3818004356,0.532193571826
latency_2x,latency,2x,ppo_aggregate,liquidity_aware,24,0.27786639216,0.434771116219,-0.161204713412,0.68169542539,0.207468879668,0.690261166707,10.2248054446,0.186840928341
latency_2x,latency,2x,twap_like,liquidity_aware,24,0.855406183675,0.790334431529,-0.0690659660773,1.70938468847,0.0590676104467,0.118135220893,31.4768610059,0.243659549626
latency_2x,latency,2x,immediate,liquidity_aware,24,1.67943597222,2.51913483492,0.0963368261404,3.20850353114,0.0322186966073,0.0859165242861,61.799147206,0.53669442267
latency_5x,latency,5x,ppo_aggregate,liquidity_aware,24,0.309522378903,0.457118455699,-0.161316696537,0.725374255933,0.18916280205,0.690261166707,7.35320499512,0.17786827853
latency_5x,latency,5x,twap_like,liquidity_aware,24,0.732085182856,0.790334431529,-0.337360034045,1.74257744541,0.171100805467,0.171100805467,17.3918682148,0.201599137216
latency_5x,latency,5x,immediate,liquidity_aware,24,1.53765408403,2.34097380209,-0.244465970035,3.18026049184,0.0929948742983,0.0929948742983,36.5294610732,0.467628214274
latency_half,latency,0.5x,ppo_aggregate,liquidity_aware,24,0.269847270017,0.413165438069,-0.115266947228,0.649599491471,0.172565291677,0.690261166707,13.6621267135,0.186290754225
latency_half,latency,0.5x,twap_like,liquidity_aware,24,0.99511350457,1.6717896874,0.160380687459,1.77525611515,0.0141567000244,0.0507688552599,50.3817095979,0.282782286417
latency_half,latency,0.5x,immediate,liquidity_aware,24,1.7468590608,2.51913483492,0.131073601786,3.26412547346,0.0214791310715,0.0859165242861,88.4419169325,0.556440610702
latency_zero,latency,zero,ppo_aggregate,liquidity_aware,24,0.257006894561,0.413165438069,-0.115373861389,0.626437666399,0.19062728826,0.690261166707,14.6848634247,0.17124203775
latency_zero,latency,zero,twap_like,liquidity_aware,24,0.99511350457,1.6717896874,0.172212188931,1.76847818735,0.012692213815,0.0507688552599,56.858808911,0.282782286417
latency_zero,latency,zero,immediate,liquidity_aware,24,1.7468590608,2.51913483492,0.0775731844974,3.22339932373,0.0273370759092,0.0859165242861,99.8120566912,0.556440610702
liquidity_adversarial_thin,liquidity,adversarial_thin,ppo_aggregate,liquidity_aware,24,0.572913673597,0.429563113216,0.138800922567,0.964241741138,0.00561386380278,0.0168415914083,22.1513637139,0.370866114371
liquidity_adversarial_thin,liquidity,adversarial_thin,twap_like,liquidity_aware,24,1.2881276868,1.69001362389,0.266111765317,2.36464333869,0.0158652672687,0.0475958018062,49.8046847462,0.33477382998
liquidity_adversarial_thin,liquidity,adversarial_thin,immediate,liquidity_aware,24,8.79344048243,9.51160776786,7.33631362564,10.26014112,0.000244081034904,0.000732243104711,339.99310437,2.3719720442
liquidity_high,liquidity,high,ppo_aggregate,liquidity_aware,24,0.11443028492,0.263387588562,-0.267239027405,0.515757539023,0.563583109592,0.563583109592,5.0802365163,0.077795879916
liquidity_high,liquidity,high,twap_like,liquidity_aware,24,0.833331673482,1.13309464531,-0.119827823172,1.74522631488,0.0820112277276,0.120087869173,36.9965171438,0.233809127795
liquidity_high,liquidity,high,immediate,liquidity_aware,24,1.19139916073,2.11306862509,-0.472054364264,2.76544378781,0.1657310227,0.1657310227,52.8932487238,0.369504625747
liquidity_low,liquidity,low,ppo_aggregate,liquidity_aware,24,0.360200595261,0.465092560636,-0.0605456366753,0.736787741811,0.0732243104711,0.146448620942,16.0067292135,0.253443477042
liquidity_low,liquidity,low,twap_like,liquidity_aware,24,0.935166429317,1.19372671288,-0.0589796210616,1.87438326475,0.0600439345863,0.120087869173,41.5572766968,0.262886552073
liquidity_low,liquidity,low,immediate,liquidity_aware,24,2.70190193742,3.22390722752,0.974224481169,4.29370441041,0.000732243104711,0.00146448620942,120.068132154,0.838341323127
